BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB8;DN2212;343;bsc212526_bcf343_4080;5;Dn2212>Dn2246;-39.22 dBm;-120.00 dBm;-44.1 dBm;-43.85 dBm;10;Off;22123500 (kHz)
DNEB8;DN2225;361;bsc212526_bcf361_4080;6;DN2225>DN2235;-29.94 dBm;-120.00 dBm;-45.5 dBm;-46.16 dBm;8;Off;23355500 (kHz)
DNEB8;DN2225;361;bsc212526_bcf361_4080;3;DN2225>DN2210;;;-43.1 dBm;;18;Off;23170000 (kHz)
DNEB8;DN2225;361;bsc212526_bcf361_4080;5;DN2225>DN2223;-38.00 dBm;-120.00 dBm;-44.0 dBm;-46.74 dBm;6;Off;23362500 (kHz)
DNEB8;DN2275;517;bsc212526_bcf517_4080;2;DN2275>DN2202;;;-40.0 dBm;;3;Off;23173500 (kHz)
DNEB8;DN2207;320;bsc212526_bcf320_4080;4;DN2207>DN2224;-36.24 dBm;-120.00 dBm;-39.3 dBm;-46.05 dBm;18;Off;23355500 (kHz)
DNEB8;DN2207;320;bsc212526_bcf320_4080;3;DN2207>DN2239;-40.86 dBm;-120.00 dBm;-42.0 dBm;-41.35 dBm;7;Off;23058000 (kHz)
DNEB8;DN2207;320;bsc212526_bcf320_4080;5;DN2207>DN2231;;;-39.9 dBm;;7;Off;23037000 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;6;DN2247>DN2252_1;-39.52 dBm;-120.00 dBm;-45.9 dBm;-45.94 dBm;10;ATPC;23030000 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;8;DN2247>DN2253;-36.86 dBm;-120.00 dBm;-54.3 dBm;-45.57 dBm;3;Off;23362500 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;7;DN2247>DN2252_2;-38.14 dBm;-120.00 dBm;-42.2 dBm;-40.88 dBm;17;Off;23141993 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;9;DN2247>DN2240;-39.36 dBm;-120.00 dBm;-41.7 dBm;-41.13 dBm;15;Off;23191000 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;10;DN2247>DN2241;-39.79 dBm;-120.00 dBm;-47.3 dBm;-46.53 dBm;18;Off;14473000 (kHz)
DNEB8;DN2247;283;bsc212526_bcf283_4080;5;DN2247>DN2226;;;-42.3 dBm;;14;Off;23369500 (kHz)
DNEB8;DN2249;433;bsc212526_bcf433_4080;6;DN2249>DN2238;-31.92 dBm;-120.00 dBm;-44.3 dBm;-47.29 dBm;8;Off;22186500 (kHz)
